District,Category,Bedrooms,Livingrooms,Bathrooms,Furnished,Kitechen,Garage,Elevator,AC,Price,Region,floor_number,AGE
شقة للإيجار في شارع الامير سعود بن عبدالله بن جلوي ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,yes,48000.0,East,2.0,1.0
شقة للإيجار في شارع الشيخ عبدالله المخضوب ، حي الفلاح ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,yes,yes,30000.0,East,2.0,4.0
شقة للإيجار في شارع قلعة صلاح الدين ، حي العقيق ، الرياض ، الرياض,family,2.0,1.0,1,no,yes,no,yes,yes,46000.0,East,1.0,1.0
شقة للإيجار في طريق الملك فهد ، حي الملقا ، الرياض ، الرياض,family,2.0,2.0,2,yes,yes,no,yes,yes,14000.0,East,3.0,4.0
شقة للإيجار في حي القيروان ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,no,yes,65000.0,East,1.0,1.0
شقة للإيجار في طريق الملك فهد الفرعي ، حي العليا ، الرياض ، الرياض,singal,1.0,1.0,2,yes,yes,no,no,no,20000.0,East,20.0,1.0
شقة للإيجار في شارع رقم 555 ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,yes,35000.0,East,3.0,1.0
شقة للإيجار في حي ، شارع الأمير ناصر بن سعود بن فرحان آل سعود ، حي الصحافة ، الرياض ، الرياض,family,3.0,1.0,2,yes,yes,yes,yes,yes,55000.0,East,2.0,1.0
شقة للإيجار في شارع ابي الحسن الجرجاني ، حي المرسلات ، الرياض ، الرياض,family,2.0,1.0,1,no,yes,no,no,yes,20000.0,East,3.0,17.0
شقة للإيجار في طريق الملك فهد الفرعي ، حي العليا ، الرياض ، الرياض,singal,1.0,1.0,2,yes,yes,no,no,no,20000.0,East,16.0,4.0
شقة للإيجار في الرياض ، حي النزهة ، الرياض,family,3.0,2.0,4,no,yes,yes,no,no,80000.0,East,1.0,8.0
شقة للإيجار في شارع القرنين ، حي العقيق ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,yes,yes,35000.0,East,3.0,4.0
شقة للإيجار في شارع وادي الزرقاء ، حي الوادي ، الرياض ، الرياض,family,1.0,1.0,1,no,yes,no,no,yes,20000.0,East,1.0,11.0
شقة للإيجار في شارع رقم 208 ، حي النرجس ، الرياض ، الرياض,family,2.0,1.0,2,no,yes,no,no,yes,32000.0,East,2.0,1.0
شقة للإيجار في حي ، طريق ابي بكر الصديق ، حي العارض ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,no,no,60000.0,East,1.0,1.0
شقة للإيجار في شارع وادي وج ، حي الملقا ، الرياض ، الرياض,family,3.0,1.0,4,yes,yes,yes,yes,yes,100000.0,East,3.0,1.0
شقة للإيجار في حي ، شارع أبي الحباب الكندي ، حي القيروان ، الرياض ، الرياض,family,4.0,1.0,3,no,yes,no,no,yes,55000.0,East,3.0,1.0
شقة للإيجار في شارع اوس بن عوف ، حي العقيق ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,yes,34000.0,East,2.0,8.0
شقة للإيجار في حي ، شارع محمد حسين هيكل ، حي العارض ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,yes,33000.0,East,2.0,1.0
شقة للإيجار في شارع الديوان ، حي النرجس ، الرياض ، الرياض,family,3.0,2.0,2,no,yes,no,no,yes,47000.0,East,2.0,4.0
شقة للإيجار في شارع المجد ، حي الملقا ، الرياض ، الرياض,family,2.0,1.0,2,no,yes,yes,yes,yes,80000.0,East,2.0,1.0
شقة للإيجار في شارع محمد حسين فلمبان ، حي النرجس ، الرياض ، الرياض,family,4.0,1.0,3,no,no,no,no,no,37000.0,East,2.0,1.0
شقة للإيجار في شارع رقم 115 ، حي النرجس ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,yes,yes,38000.0,East,2.0,3.0
شقة للإيجار في شارع احمد البسطامي ، حي العارض ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,no,25000.0,East,3.0,1.0
شقة للإيجار في حي ، شارع ميمون بن جعفر ، حي العارض ، الرياض ، الرياض,family,3.0,1.0,2,no,yes,no,no,yes,35000.0,East,3.0,4.0
شقة للإيجار في حي القيروان ، الرياض ، الرياض,family,3.0,1.0,3,no,yes,no,no,no,60000.0,East,1.0,1.0
شقة للإيجار في حي النرجس ، الرياض ، الرياض,family,3.0,1.0,2,no,no,no,no,no,27000.0,East,2.0,1.0
شقة للإيجار في طريق الأمير محمد بن سلمان بن عبدالعزيز ، حي العقيق ، الرياض ، الرياض,singal,2.0,1.0,1,no,yes,no,yes,yes,30000.0,East,1.0,4.0
